Batch Size: 1, Warmup: 20 iters, Benchmark: 30 iters
Warmup with 20 Iters
Running 30 Iters
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.18%      14.272ms        26.16%     316.812ms     199.253us       0.000us         0.00%     102.832ms      64.674us          1590  
                                   ConvolutionBackward0         0.49%       5.978ms        24.29%     294.233ms     185.052us       0.000us         0.00%      99.876ms      62.815us          1590  
                             aten::convolution_backward        17.72%     214.596ms        23.80%     288.255ms     181.292us      99.876ms        28.28%      99.876ms      62.815us          1590  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      82.811ms        23.45%      82.811ms       5.360us         15450  
                                             aten::add_         7.96%      96.402ms        14.52%     175.858ms      11.747us      79.855ms        22.61%      79.855ms       5.334us         14970  
                                Optimizer.step#SGD.step         5.86%      71.033ms        19.78%     239.609ms       7.987ms       0.000us         0.00%      76.607ms       2.554ms            30  
                                           aten::conv2d         0.32%       3.917ms        14.13%     171.160ms     107.648us       0.000us         0.00%      46.068ms      28.974us          1590  
                                      aten::convolution         0.89%      10.761ms        13.81%     167.243ms     105.184us       0.000us         0.00%      46.068ms      28.974us          1590  
                                     aten::_convolution         0.65%       7.902ms        12.92%     156.482ms      98.416us       0.000us         0.00%      46.068ms      28.974us          1590  
                                aten::cudnn_convolution         9.56%     115.737ms        12.27%     148.580ms      93.447us      46.068ms        13.04%      46.068ms      28.974us          1590  
void cudnn::ops::nchwToNhwcKernel<__half, __half, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      37.958ms        10.75%      37.958ms       8.726us          4350  
                                       aten::batch_norm         0.25%       3.025ms        10.75%     130.231ms      81.906us       0.000us         0.00%      32.240ms      20.277us          1590  
                           aten::_batch_norm_impl_index         0.46%       5.617ms        10.50%     127.206ms      80.004us       0.000us         0.00%      32.240ms      20.277us          1590  
                                aten::native_batch_norm         3.14%      38.001ms         9.26%     112.216ms      70.576us      21.125ms         5.98%      32.240ms      20.277us          1590  
autograd::engine::evaluate_function: torch::autograd...         1.29%      15.616ms         7.24%      87.686ms      18.154us       0.000us         0.00%      25.820ms       5.346us          4830  
                        torch::autograd::AccumulateGrad         1.13%      13.676ms         5.95%      72.070ms      14.921us       0.000us         0.00%      25.820ms       5.346us          4830  
                                             aten::mul_         2.79%      33.804ms         4.85%      58.760ms      12.166us      25.470ms         7.21%      25.470ms       5.273us          4830  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.470ms         7.21%      25.470ms       5.273us          4830  
